ear_mean,ear_min,yaw_mean,yaw_std,pitch_mean,pitch_std,frown_mean,nose_delta_sum,gaze_variance_mean,shoulder_angle_mean,mar_mean,roll_angle_mean,label,label_name
0.2943,0.2297,0.5518,0.0186,0.6177,0.0376,0.4022,0.1911,0.0044,92.1766,0.1800,0.00,2,FATIGA
0.3815,0.3064,0.4574,0.0151,0.7416,0.0361,0.4370,0.2298,0.0037,110.9716,0.1800,0.00,2,FATIGA
0.3504,0.3030,0.4949,0.0103,0.6669,0.0199,0.4247,0.1748,0.0020,85.5078,0.1800,0.00,2,FATIGA
0.3420,0.2951,0.5151,0.0166,0.6834,0.0093,0.4373,0.1859,0.0033,97.5250,0.1800,0.00,2,FATIGA
0.3800,0.3284,0.5258,0.0097,0.7329,0.0187,0.4240,0.0868,0.0048,98.0054,0.1800,0.00,2,FATIGA
0.3525,0.2962,0.5546,0.0120,0.6805,0.0533,0.4414,0.4789,0.0073,96.9890,0.1800,0.00,2,FATIGA
0.3474,0.2937,0.5201,0.0201,0.6728,0.0647,0.4379,0.4552,0.0084,95.8422,0.1800,0.00,2,FATIGA
0.3302,0.2578,0.5958,0.0240,0.6333,0.0184,0.4307,0.2835,0.0112,96.2991,0.1800,0.00,2,FATIGA
0.3401,0.2837,0.5289,0.0180,0.6312,0.0123,0.4440,0.1191,0.0084,99.7980,0.1800,0.00,2,FATIGA
0.2843,0.2266,0.5785,0.0159,0.5775,0.0263,0.4188,0.3405,0.0051,95.2092,0.1800,0.00,2,FATIGA
0.3564,0.3165,0.5799,0.0082,0.5899,0.0070,0.4041,0.0727,0.0044,96.0513,0.1800,0.00,2,FATIGA
0.3211,0.2261,0.5744,0.0135,0.5992,0.0078,0.4287,0.0784,0.0010,105.5158,0.1800,0.00,2,FATIGA
0.3558,0.3070,0.5640,0.0043,0.6125,0.0049,0.4299,0.0341,0.0002,108.1113,0.1800,0.00,2,FATIGA
0.3515,0.3067,0.6157,0.0669,0.6817,0.0744,0.4253,0.4301,0.0015,114.6572,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3667,0.3117,0.5669,0.0543,0.7063,0.0706,0.4306,0.4289,0.0062,142.8156,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3230,0.2313,0.5869,0.1060,0.4585,0.1110,0.4014,0.4528,0.0045,186.8416,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3600,0.3079,0.6984,0.1413,0.5489,0.0359,0.3995,0.2125,0.0023,216.9983,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3499,0.3163,0.5586,0.0171,0.5610,0.0103,0.4008,0.0850,0.0008,174.8928,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3557,0.3380,0.5460,0.0145,0.5725,0.0189,0.4002,0.0715,0.0002,164.0376,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3435,0.2775,0.5644,0.0318,0.6287,0.0674,0.4044,0.1350,0.0002,208.3619,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3783,0.3337,0.5141,0.1873,0.6988,0.0697,0.4210,0.3513,0.0019,247.4075,0.1800,0.00,3,SOBREESTIMULACIÓN
0.4282,0.3118,0.3011,0.1552,0.6108,0.0478,0.3890,0.4493,0.0095,194.3591,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3303,0.2667,0.6631,0.2261,0.6594,0.0563,0.4160,0.5576,0.0062,242.1913,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3556,0.2038,0.5202,0.0776,0.5263,0.0728,0.4161,0.4103,0.0028,237.5449,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3493,0.2578,0.4746,0.0530,0.5082,0.0503,0.4109,0.4469,0.0051,214.7946,0.1800,0.00,3,SOBREESTIMULACIÓN
0.3352,0.2613,0.5444,0.0557,0.6149,0.0231,0.4071,0.2551,0.0060,106.3258,0.1800,0.00,3,SOBREESTIMULACIÓN
